,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,AAPL260515C00005000,2026-04-06 18:17:52+00:00,5.0,254.0,259.45,262.9,0.0,0.0,1.0,20,9.000004375,True,REGULAR,USD
1,AAPL260515C00010000,2026-04-14 13:30:02+00:00,10.0,249.75,254.55,257.95,0.0,0.0,1.0,2,6.876954528808594,True,REGULAR,USD
2,AAPL260515C00015000,2026-02-17 17:27:03+00:00,15.0,246.63,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
3,AAPL260515C00020000,2026-02-17 17:30:43+00:00,20.0,242.21,0.0,0.0,0.0,0.0,14.0,0,1.0000000000000003e-05,True,REGULAR,USD
4,AAPL260515C00030000,2026-04-02 18:34:35+00:00,30.0,225.0,234.6,238.0,0.0,0.0,1.0,1,4.288090577392579,True,REGULAR,USD
5,AAPL260515C00035000,2026-02-04 16:27:47+00:00,35.0,242.1,213.2,217.2,0.0,0.0,1.0,3,1.0000000000000003e-05,True,REGULAR,USD
6,AAPL260515C00040000,2026-01-06 20:53:19+00:00,40.0,223.13,234.5,237.95,0.0,0.0,,1,5.956789663391113,True,REGULAR,USD
7,AAPL260515C00045000,2026-04-08 14:56:08+00:00,45.0,213.39,219.65,223.1,0.0,0.0,1.0,1,3.502442650146484,True,REGULAR,USD
8,AAPL260515C00050000,2026-04-09 13:33:48+00:00,50.0,209.01,214.65,218.05,0.0,0.0,1.0,2,3.27343931640625,True,REGULAR,USD
9,AAPL260515C00060000,2026-04-09 13:33:48+00:00,60.0,199.02,204.7,208.05,0.0,0.0,1.0,20,2.9209011352539065,True,REGULAR,USD
10,AAPL260515C00070000,2026-04-10 13:54:57+00:00,70.0,190.23,194.7,198.1,0.0,0.0,1.0,3,2.6435580786132817,True,REGULAR,USD
11,AAPL260515C00080000,2026-04-13 13:30:03+00:00,80.0,179.98,184.75,188.1,0.0,0.0,1.0,1,2.3920938635253903,True,REGULAR,USD
12,AAPL260515C00085000,2026-04-13 13:30:03+00:00,85.0,175.01,179.65,183.15,0.0,0.0,2.0,4,2.291996457519531,True,REGULAR,USD
13,AAPL260515C00090000,2026-04-13 13:30:03+00:00,90.0,170.04,174.8,178.15,0.0,0.0,1.0,33,1.3281283593749997,True,REGULAR,USD
